content,gender_imputed
同居这个事可以接受，但不代表我就一定会和你进行到最后一步。我的思想可能有些许保守吧，我也会想很多。如果说我给了不是我最后结婚的那个人，我会在意说跟我结婚的人是不是会在意这个，有这个情结。如果他有，那我该怎么办？我不想以后有这些烦恼，所以就杜绝这个事情的发生。现在其实感觉很多男生都有这个情结，但是有这些情结的男生我在想那你跟别的女生有没有过呢？如果有，那你凭什么来要来要求我们？这个社会总感觉对女生有些不公平，女生是不是第一次会有现象，但是男生呢？他说他是那他就是了嘛？我只是想把最美好的自己留给最后的那个人罢了,0
总体上不介意，有个前提就是必须心理上生活中断得干净，Ta是真心爱你！        同居过好过结婚再离，现在离婚率太高了，同居会减少很多不必要结婚离婚。        当然同等条件下，谁也不想找个同居过的，人之常情而己，但许多时候你没有那么多选择余地，尤其是婚恋市场上不那么吃香的人。,1
会在乎，但只要感情好不应该把这个成为两个人间的问题。可能平时也会想，她和以前的做时是什么情形，会不会有高潮等。,1
和别人同没同居过只是个问题的表象，核心本质是她对过去同居这个人和这段回忆的态度，如果她自己都不愿忘记过去开始新的生活，那么你的所有努力都是徒劳。如果她已经整理好自己，准备和你共度一生，那么过去没那么重要了。,1
我男朋友说他谈了4场恋爱，我是初恋。在一起前听他讲过他的恋爱，在他这每个姑娘都有自己的闪光点，分开后没有诋毁，没有不满，更多的感恩。没听他说有同居，但X关系肯定是有的。在一起之后，就再没跟提过前任。我也不知道他跟前任同居过没有，也没问，可能心底的答案，是不能接受吧。,0
我是女的，我非常介意。不许喷我，因为我不会和别人同居。所以我不会找同居过的,0
介意可是介意能解决问题吗？不能，只会自己找不愉快,0
不介意但不要赖到我头上,NA
我没有和别人同居过。我会介意。很简单啊，我到现在是个处男，只谈过一次恋爱。我为什么不能要求对方没有和别人同居过呢。你说你两同居按照正常剧情，咋说也是在一起一两年以上的吧。这时候你难道还不知道对方的为人？同居之前不多考虑一下？然后又说不合适不合适。那你之前就没有考虑过可能出现这种情况？当然了，在一起一两个月就同居的那当我没说，那你们厉害。,1
在意超级在意，因为喜欢，一想到曾经他和别的女生睡过，就觉得在乎的不得了，嘴上告诉自己，成年人谈恋爱这样正常的很，事情过去了就过去了，可心里还是十分难受，会在心里和他的前女友比较，会觉得很难过，有过想分手的想法，可是因为喜欢也只能接受。,0
我觉得同居分手，这是一件很常见的事情。我更讨厌的那种，明明有前任/初恋在心中念念不忘还要和你在一起的人。相比于同居，我觉得更应该在乎的是，他是不是足够爱你。,0
着实介意，因为同居或者说明跟我在一起经常二婚，但是介意与接受也着实是两回事，有句话说的好，爱一个人要接受他的曾经，我并不否认这句话存在什么错误，但是如果在接受之后仍然迎来背叛，那说明这个人不值得托付，有的是该放手放手吧。,0
如果一个女孩很爱那个男孩  她们即使知道也会包容那个男孩 尊重他的过去 想着和他以后的生活 若是一个男孩很爱这个女孩 更多的应该是心疼  会想着今后好好照顾她 不让她受到任何伤害 会更加珍惜吧,0
不一道砍，看情况而定。如果：同居的原因是考虑结婚了，然后崩了，哪么我不介意。如果：同居的原因是谈了多年恋爱，哪么我不介意。如果：本来就没哪么喜欢对方，就同居了，哪么介意。如果：同居的还不止一个人，哪么，介意。,1
没认识你之前，人家是自由的,1
